bin,n,acc,conf,model
"(0.299, 0.37]",1991,0.3611250627825213,0.35354149277247615,LSTM
"(0.37, 0.44]",3293,0.3999392651078044,0.40286645095657453,LSTM
"(0.44, 0.51]",2325,0.41978494623655915,0.4710156274795699,LSTM
"(0.51, 0.58]",908,0.394273127753304,0.5401760426541851,LSTM
"(0.58, 0.65]",541,0.33271719038817005,0.6144880890018485,LSTM
"(0.65, 0.72]",458,0.36899563318777295,0.6847865126200874,LSTM
"(0.72, 0.79]",504,0.40674603174603174,0.7560550866468254,LSTM
"(0.79, 0.86]",551,0.4519056261343013,0.8253436625952812,LSTM
"(0.86, 0.93]",581,0.5335628227194492,0.8923442761790017,LSTM
"(0.93, 1.0]",296,0.6993243243243243,0.952132039222973,LSTM
"(0.299, 0.37]",1527,0.3569089718402096,0.35616192458415197,Transformer
"(0.37, 0.44]",4173,0.37574886173017014,0.4043732778025401,Transformer
"(0.44, 0.51]",2567,0.4179976626412154,0.4677699520685625,Transformer
"(0.51, 0.58]",672,0.31994047619047616,0.5416732332886904,Transformer
"(0.58, 0.65]",582,0.3436426116838488,0.6139260240721649,Transformer
"(0.65, 0.72]",515,0.41359223300970877,0.6866510775145631,Transformer
"(0.72, 0.79]",523,0.491395793499044,0.754436996290631,Transformer
"(0.79, 0.86]",427,0.5058548009367682,0.8261973707494146,Transformer
"(0.86, 0.93]",374,0.6096256684491979,0.8933769903743315,Transformer
"(0.93, 1.0]",88,0.6477272727272727,0.9432583221590908,Transformer
