model,tag,config,return_%,sharpe,max_dd_%,profit_factor,n_trades,win_rate_%
CrossModalTransformer,R1,default (current),-16.49,-0.323,-31.0,0.965,1208,43.89
CrossModalTransformer,R2,raw (no gate),-4.98,0.031,-28.57,1.002,1070,47.93
CrossModalTransformer,R3,stricter conf (top-20%),-18.0,-0.687,-28.81,0.927,643,42.47
CrossModalTransformer,R4,top-decile (top-10%),-2.6,-0.042,-16.84,0.991,322,42.02
CrossModalTransformer,R5,extreme gate (V8),-4.98,0.031,-28.57,1.002,1070,47.93
CrossModalTransformer,R6,ensemble w/ Transformer,20.58,0.812,-14.67,1.14,453,40.03
CrossModalTransformer,R7,temperature-scaled (T=2),-2.95,0.09,-30.25,1.007,1080,48.02
SentimentLSTM,R1,default (current),-15.86,-0.466,-24.23,0.949,1178,38.07
SentimentLSTM,R2,raw (no gate),-15.11,-0.372,-27.69,0.96,1204,41.31
SentimentLSTM,R3,stricter conf (top-20%),-20.13,-0.866,-24.5,0.889,690,34.93
SentimentLSTM,R4,top-decile (top-10%),-17.31,-1.362,-21.01,0.814,374,32.77
SentimentLSTM,R5,extreme gate (V8),-15.67,-0.391,-28.17,0.958,1204,41.31
SentimentLSTM,R6,ensemble w/ Transformer,13.78,0.64,-19.23,1.091,691,38.08
SentimentLSTM,R7,temperature-scaled (T=2),-12.16,-0.266,-28.06,0.971,1217,41.21
